rule,sharpe_all,cagr,maxdd,bp,win%,sh_train,sh_test,n,avg_hz
gd T+3/T+1 sl=10.0 tp=-,1.4291324979031548,28.43185124037546,26.427874733665934,114.06513230828648,53.72132064913262,1.0961591677291873,0.3313819077363982,1787,2.186345831001679
T+5 sl=8.0 tp=20.0,0.953026325494053,14.78408017249051,17.02404835191342,90.79201782930211,48.06939003917179,0.5467171498949827,0.32974604601276325,1787,5.0
rev T+5 sl=10.0 tp=30.0,1.1562473940133817,21.24500517585537,19.922136659178,97.82933564254314,43.59261331841074,0.8037763200879011,0.32917395230619245,1787,3.289871292669278
rev T+3 sl=5.0 tp=30.0,1.002414093735707,16.43929524444465,23.443991059645462,70.70932948824208,37.54896474538332,0.7313450261754726,0.32693043570119534,1787,2.144935646334639
T+1 sl=10.0 tp=30.0,1.380131367889297,24.575978714270175,20.56156296674808,90.32971226854342,53.55344152210408,1.1899966502771449,0.32377613677212874,1787,1.0
T+1 sl=8.0 tp=30.0,1.136510601438141,19.083824295047492,20.76637549630731,70.8430634512481,50.58757694459989,1.0291351784814042,0.32223811050269785,1787,1.0
rev T+5 sl=8.0 tp=-,1.0003356735762472,17.65165403701672,16.645085110458304,84.88550737359496,41.41018466703973,0.7894373620970356,0.3184621490210209,1787,3.289871292669278
T+3 sl=10.0 tp=-,1.3671522211202276,27.443150632233284,24.94925540661924,124.43021698872441,52.88192501398993,1.0269762037935184,0.31765104021091706,1787,3.0
rev T+3 sl=5.0 tp=-,1.0126683045447424,18.22659139651137,22.472609992874183,78.30231865575571,37.54896474538332,0.7662646657705663,0.31740622718661615,1787,2.144935646334639
T+1 sl=10.0 tp=-,1.3639778148427513,24.471657153568383,20.561562966748113,90.38038371940743,53.55344152210408,1.1603388470943239,0.31620894237747654,1787,1.0
T+1 sl=8.0 tp=-,1.119338977658196,18.976928276043093,20.766375496307322,70.89373490211213,50.58757694459989,0.9950585598884926,0.3146159671942026,1787,1.0
T+5 sl=5.0 tp=15.0,0.7917233688853978,9.978665780240803,16.28368413955107,64.03362466387821,39.73139339675434,0.4287154973139275,0.31134521805119514,1787,5.0
T+3 sl=10.0 tp=30.0,1.391515540728638,27.24680285768375,25.214782603175934,120.20810968432306,52.93788472299944,1.044116885630813,0.3048505138664399,1787,3.0
rev T+5 sl=10.0 tp=-,1.1014652780545457,20.69766328099101,19.922136659178015,98.11464925460137,43.536653609401235,0.7777200509732577,0.29881390914257966,1787,3.289871292669278
T+5 sl=5.0 tp=10.0,0.8568831796592207,9.652294164803198,13.988871101707334,62.72009803036043,43.31281477336318,0.40846756511853977,0.2931468774289582,1787,5.0
T+5 sl=15.0 tp=-,1.1725333143556937,22.967650857622978,24.70922677349934,129.12094845034875,54.61667599328484,0.6733964462879926,0.28261373273900986,1787,5.0
T+5 sl=15.0 tp=30.0,1.2020129219066693,22.989754125778017,23.94333122415476,128.09448526327012,54.67263570229435,0.7040277870914068,0.2646601149582335,1787,5.0
T+5 sl=5.0 tp=20.0,0.7613464120331894,9.891203470412592,19.38940423552363,66.68614644969279,39.00391717963066,0.4618273870952449,0.22857249141051383,1787,5.0
