hz,stop,tgt,bp,bp_train,bp_test,t_test,win%,stop%,tp%,wick%,dbp,sh_train,sh_test,arm
T+1,3%,5%,48.1698773103462,51.101405958360964,43.386175186634325,2.878212358190672,46.222719641857864,51.4829322887521,41.91382204812535,36.41304347826087,-81.259312091464,1.2882940626507207,0.8790952629537354,full
T+1,3%,8%,57.06143355893033,61.318505138720944,50.114695251996636,2.6754746941780976,38.83603805260213,57.91829882484612,25.293788472299944,35.84541062801932,-72.36775584287984,1.2217672742582266,0.7517917198168418,full
T+1,3%,10%,61.28648446239933,67.16014735993052,51.70177387261352,2.5367828966615074,36.93340794627868,59.65304980414102,18.242865137101287,35.36585365853659,-68.14270493941088,1.2667014132806196,0.70119752501535,full
T+1,3%,15%,60.81697039355807,63.31366135144576,56.742841407785505,2.4734354896196966,35.14269725797426,61.38780078343593,6.9949636261891435,35.369188696444844,-68.61221900825213,1.1099326463944106,0.6276374010950739,full
T+1,3%,20%,61.018822310211895,68.00004508947528,49.62678278234173,2.1076335280525655,34.750979294907665,61.723559037493004,3.18970341354225,35.63009972801451,-68.4103670915983,1.0998291816312287,0.6124511699489256,full
T+1,3%,0.5xEM,-3.166003049058319,1.9066856346078138,-11.443674715482587,-1.1317938073662277,64.40962506994964,35.08673754896475,64.01790710688304,38.11802232854865,-132.59519245086847,0.04534241948401571,-0.0795808134002488,full
T+1,3%,1xEM,31.42527493303199,38.03712242083663,20.63598624895609,1.4858520470024175,55.17627308337997,43.48069390039172,51.9306099608282,36.93693693693694,-98.00391446877819,1.0701289598731933,0.5159401661282723,full
T+1,3%,1.5xEM,35.39668399174939,41.52945990553329,25.389149805486436,1.5751002002541854,48.06939003917179,49.91606043648573,40.570789031897036,36.65919282511211,-94.03250541006079,1.0648848230188623,0.5218001132306248,full
T+1,5%,-,48.87620066835708,69.59396651390828,15.068712366632882,0.5662505395991084,43.20089535534415,46.44655847789592,0.0,28.674698795180724,-80.5529887334531,0.9756875631142539,0.121902156427335,full
T+1,5%,5%,41.23693636663672,48.54380716641255,29.313500658018715,1.5907692047053448,55.23223279238948,37.94068270844992,48.796866256295466,29.35103244837758,-88.19225303517347,1.0106030610455374,0.6093041557907066,full
T+1,5%,8%,48.507320803629135,55.03693391935631,37.852223112575075,1.6959240009227377,47.62171236709569,43.14493564633464,29.490766648013427,28.793774319066145,-80.92186859818105,0.9031047236996206,0.5353885675969804,full
T+1,5%,10%,54.69692674374336,61.243530974615204,44.014102755811116,1.8232093164648215,45.71908226077224,44.54392837157247,21.48852825965305,28.266331658291456,-74.73226265806682,0.9719079947902286,0.5562511886897621,full
T+1,5%,15%,54.583257061638584,60.21916888617888,45.386511403920366,1.7017889183167276,43.87241186345831,45.88696138780078,8.282036933407946,28.292682926829265,-74.84593234017159,0.927766081556103,0.4630983928710184,full
T+1,5%,20%,57.136783487971805,67.81033559371171,39.719558549592094,1.454009000590381,43.59261331841074,46.11080022383884,3.6373810856183546,28.519417475728154,-72.29240591383835,0.9689158824422891,0.47122069119632587,full
T+1,5%,0.5xEM,-7.283873028507872,-0.2980670583915212,-18.683391459861205,-1.4491993857554812,72.8035814213766,24.566312255176275,71.85226636821488,31.435079726651484,-136.71306243031805,-0.04885602647376778,-0.17333741646386744,full
T+1,5%,1xEM,28.13092796974432,38.080239905941546,11.895526459720003,0.6945631378834899,63.68214885282597,31.617235590374932,58.58981533296027,30.08849557522124,-101.29826143206586,0.8825805401111243,0.34117726565764395,full
T+1,5%,1.5xEM,28.557904803909956,36.64107540098126,15.367694168335579,0.7866861409698509,56.79910464465585,37.10128707330722,45.99888080581981,29.11010558069382,-100.87128459790023,0.7957503020465128,0.2974295009676032,full
T+1,8%,-,70.89373490211213,89.47482290541353,40.572902048418506,1.3396626990683809,50.58757694459989,26.46894236149972,0.0,22.41014799154334,-58.53545449969807,1.1526320700788477,0.3146159671942026,full
T+1,8%,5%,59.04824768273041,68.19879198024519,44.11628438133661,2.0546146051065994,62.61891438164522,21.32064913262451,54.33687744823727,22.83464566929134,-70.38094171907981,1.2323150202434434,0.7063007445518721,full
T+1,8%,8%,66.53993540896309,71.62200396763629,58.2469575547512,2.283955046554288,54.840514829322885,24.454392837157247,32.56855064353665,22.42562929061785,-62.88925399284709,1.0813402375374868,0.6610482713929029,full
T+1,8%,10%,72.41406708968832,74.59512743053729,68.85498777060049,2.5093644008446723,52.93788472299944,25.349748181309455,23.61499720201455,21.63355408388521,-57.01512231212188,1.100929257474423,0.6989083762006687,full
T+1,8%,15%,72.52975252325659,77.82070749588,63.89591141918189,2.131315739773,51.035254616676,26.245103525461666,9.177392277560156,22.174840085287848,-56.89943687855359,1.0936224314190348,0.548345368768752,full
T+1,8%,20%,77.10082700536893,87.21940535866534,60.5892146114773,1.978009244067714,50.86737548964745,26.30106323447118,3.8612199216564074,22.340425531914892,-52.32836239644126,1.1496029062746127,0.5621571344549483,full
T+1,8%,0.5xEM,7.224937610778065,12.841995984504972,-1.941042769324147,-0.12922012640454852,79.1829882484611,13.038612199216566,77.8399552322328,24.463519313304722,-122.20425179103209,0.3076863415788149,0.20412958545323978,full
T+1,8%,1xEM,49.56285190271423,56.85783163832956,37.658820169191756,1.9127804361475391,70.67711247901511,16.843872411863458,64.07386681589256,23.588039867109632,-79.86633749909595,1.150519972459422,0.6796486297877313,full
T+1,8%,1.5xEM,51.56096626784491,57.37721370517075,42.06994688558124,1.8609741484385212,64.18578623391159,20.369334079462785,50.307778399552326,22.52747252747253,-77.86822313396527,1.036314320155876,0.5870221664855764,full
T+1,12%,-,92.458536713967,120.77005993887249,46.25946788746438,1.4267517263268454,54.61667599328484,12.479015109121432,0.0,15.246636771300448,-36.97065268784318,1.4715484107572523,0.29828317056773923,full
